Nickname,Avatar,KingCoin,Average Grade,Final Grade,S1-I,S1-E,S1-D,S1-C,S1-B,S1-A,S2-I,S2-E,S2-D,S2-C,S2-B,S2-A,S3-I,S3-E,S3-D,S3-C,S3-B,S3-A,S4-I,S4-E,S4-D,S4-C,S4-B,S4-A,S5-I,S5-E,S5-D,S5-C,S5-B,S5-A,S6-I,S6-E,S6-D,S6-C,S6-B,S6-A,S7-I,S7-E,S7-D,S7-C,S7-B,S7-A,S8-I,S8-E,S8-D,S8-C,S8-B,S8-A,SP1-I,SP1-E,SP1-D,SP1-C,SP1-B,SP1-A,SP2-I,SP2-E,SP2-D,SP2-C,SP2-B,SP2-A,SP3-I,SP3-E,SP3-D,SP3-C,SP3-B,SP3-A,SP4-I,SP4-E,SP4-D,SP4-C,SP4-B,SP4-A,SP5-I,SP5-E,SP5-D,SP5-C,SP5-B,SP5-A
ihatescience,1,69,4.66666666666667,3.375,0.5,1,2,3,4,5,0.5,1,2,3,4,5,0.5,1,2,3,4,p,0.5,1,2,3,4,5,0.5,1,2,3,4,5,0.5,1,2,3,4,,,,,,,,,,,,,,0.5,1,p,3,4,p,,,,,,,,,,,,,,,,,,,,,,,,
sb2,1,0,5,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pixel,33,74,4.6,4,0.5,1,2,3,4,5,0.5,1,2,3,4,5,0.5,1,2,3,4,5,0.5,1,2,3,4,5,0.5,1,2,3,4,5,0.5,1,2,3,4,5,,,,,,,,,,,,,0.5,1,p,3,,,0.5,1,2,3,,,,,,,,,,,,,,,,,,,,
md,1,39,2.88888888888889,1.8125,0.5,1,2,3,4,,0.5,1,,,,,0.5,1,2,3,4,,0.5,1,2,3,,,0.5,1,,,,,0.5,1,2,,,,,,,,,,,,,,,,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
error33,31,68,3.8,3.875,0.5,1,2,3,4,,0.5,1,2,3,p,,0.5,1,2,,p,,0.5,1,2,3,4,5,0.5,p,2,3,p,,0.5,1,2,3,,,,,,,,,,,,,,,0.5,1,p,p,4,5,0.5,1,2,3,,,,,,,,,,,,,,,,,,,,
ag,1,19,3.6,1.125,0.5,1,2,3,,,0.5,1,2,3,4,,,,,,,,,,,,,,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sk,1,0,5,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm,1,0,5,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bm,1,0,5,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,1,22,3.07142857142857,1.4375,0.5,1,2,3,,,,,,,,,,,,,2,,0.5,1,2,,,3,,1,2,3,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCIS,32,63,3.77777777777778,2.875,0.5,1,2,3,4,,0.5,1,2,3,4,,0.5,1,2,3,p,,0.5,1,2,3,4,p,0.5,1,2,p,,,0.5,1,2,3,p,,,,,,,,,,,,,,0.5,1,p,p,4,p,,,,,,,,,,,,,,,,,,,,,,,,
Lumi,2,54,3.27777777777778,2.40625,0.5,1,2,3,4,,0.5,,2,3,4,,0.5,1,2,3,p,,0.5,1,2,p,3,4,,1,p,p,,p,0.5,p,p,,,,,,,,,,,,,,,,,,,,,,0.5,1,2,3,,,,,,,,,,,,,,,,,,,,
jw,1,6,3,0.75,0.5,1,,,,,,,,,,,,,,,,,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb,1,36,2.5,1.5,0.5,,2,3,,,0.5,1,,2,p,,0.5,1,2,,,,0.5,p,2,,,p,0.5,1,2,p,p,,0.5,1,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred,11,69,4.88888888888889,3.6875,0.5,1,2,3,4,5,0.5,1,2,3,4,5,0.5,1,2,3,p,5,0.5,1,2,3,4,,0.5,1,2,3,p,5,0.5,1,2,3,4,5,,,,,,,,,,,,,0.5,1,p,3,p,5,,,,,,,,,,,,,,,,,,,,,,,,
ol,1,36,2.55555555555556,1.53125,0.5,1,,3,,,,,2,3,3,,,1,2,3,p,,0.5,,,,,,0.5,1,p,2,p,p,0.5,1,p,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl,1,7,4.33333333333333,0.8125,0.5,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arshasay,32,42,3.0625,1.625,0.5,1,2,p,p,4,0.5,p,1,p,p,p,0.5,1,,,p,,0.5,1,,3,,4,0.5,1,2,3,4,p,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to,1,23,3.5,1.1875,0.5,1,2,,,,,,,,p,,p,p,,p,,,0.5,1,p,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do,1,12,2.9,1,0.5,1,2,,,,,1,2,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taceysay,32,50,3.05555555555556,1.8125,0.5,1,2,3,p,,0.5,1,2,3,4,,0.5,1,p,p,p,,p,1,p,p,3,4,0.5,1,2,3,,,0.5,1,2,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jp,34,64,4.11111111111111,3.0625,0.5,1,2,3,4,,0.5,1,2,3,4,,0.5,1,2,3,4,,0.5,1,2,3,4,,0.5,1,2,3,p,,0.5,1,2,3,4,,,,,,,,,,,,,,0.5,1,p,3,4,p,,,,,,,,,,,,,,,,,,,,,,,,
sp,1,49,3.9375,2.0625,0.5,1,2,3,4,,0.5,1,2,3,4,5,0.5,1,2,3,4,p,0.5,1,2,3,4,5,0.5,1,2,3,p,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cr,29,14,2.5,1.09375,0.5,,,,,,,1,,3,,,,,,,,,,,,2,,,,1,p,,,,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts,1,0,5,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls,1,51,3.375,2.25,0.5,1,2,3,4,,0.5,1,2,3,,,,,,,,,0.5,1,2,3,4,p,,0.5,1,p,p,p,0.5,1,2,p,,,,,,,,,,,,,,,0.5,1,p,3,p,,,,,,,,,,,,,,,,,,,,,,,,,
js,33,17,3.5,1.1875,0.5,1,2,2,4,,0.5,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,1,3,3.66666666666667,0.6875,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts,1,25,2.92857142857143,1.375,0.5,1,2,3,3,,,1,1,3,p,,0.5,1,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
st,29,17,3.6,1.125,0.5,1,,3,,,,,,,,,0.5,1,2,3,,,0.5,p,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubes,14,0,5,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gk,32,9,2.66666666666667,1,,,2,,,,,,2,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mo,1,3,3.5,0.65625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
